Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,DummyMine,DummyMine,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' initiated.
0,DummyMine,DummyMine,0.OnRunInitialized,[Assign] InitThreshold,Assigning state variable 'CurrentRequestTrainThreshold' the value '24000000' .
0,DummyMine,DummyMine,0.OnRunInitialized,[End],Process 'OnRunInitialized' ended.
0,TrainLoader,DummyMine.TrainLoader,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' initiated.
0,TrainLoader,DummyMine.TrainLoader,0.OnRunInitialized,[Assign] OnRunInitializedAssignments,Assigning state variable 'CurrentCapacity' the value '1' .
0,TrainLoader,DummyMine.TrainLoader,0.OnRunInitialized,[Assign] OnRunInitializedAssignments,Assigning state variable 'DummyMine.TrainLoader.Processing.CurrentCapacity' the value '1' .
0,TrainLoader,DummyMine.TrainLoader,0.OnRunInitialized,[End],Process 'OnRunInitialized' ended.
0,ProductSource,DummyMine.ProductSource,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' initiated.
0,ProductSource,DummyMine.ProductSource,0.OnRunInitialized,[Create] FlowSourceContent,Creating '1' object(s) of type 'DummyMine.ModelEntity1' using creation method 'NewObject'.
0,--,--,--,--,Object 'ModelEntity1.77' created.
0,ModelEntity1.77,DummyMine.ProductSource,1.OnRunInitialized,[Assign] InfiniteVolume,Assigning state variable 'DummyMine.ModelEntity1.77.Volume' the value 'Infinity' Cubic Meters.
0,ModelEntity1.77,DummyMine.ProductSource,1.OnRunInitialized,[Transfer] ToFlowContainer,Entity 'ModelEntity1.77' initiating transfer from '[FreeSpace] DummyMine.ProductSource' into container location 'DummyMine.ProductSource.FlowContainer'.
0,ProductSource,DummyMine.ProductSource,0.OnRunInitialized,[End],Process 'OnRunInitialized' ended.
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' initiated.
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Assign] ToEnableTankLevelMonitoring,Assigning state variable 'DummyMine.Stockpile.WeightLevelRisingAboveLowMark.Enabled' the value '1' .
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Assign] ToEnableTankLevelMonitoring,Assigning state variable 'DummyMine.Stockpile.WeightLevelRisingAboveMidMark.Enabled' the value '1' .
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Assign] ToEnableTankLevelMonitoring,Assigning state variable 'DummyMine.Stockpile.WeightLevelRisingAboveHighMark.Enabled' the value '1' .
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Assign] ToEnableTankLevelMonitoring,Assigning state variable 'DummyMine.Stockpile.WeightLevelFallingBelowLowMark.Enabled' the value '1' .
0,Stockpile,DummyMine.Stockpile,0.OnRunInitialized,[Assign] ToEnableTankLevelMonitoring,Assigning state variable 'DummyMine.Stockpile.WeightLevelFallingBelowMidMark.Enabled' the value '1' .
