Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
14.1869981616759,TrainWagon.464,Model,60.TrainLoadStation_AfterProcessing,[Assign] TrainThroughput,Assigning state variable 'TotalTonnesLoaded' the value '24000' Metric Tons.
14.1869981616759,TrainWagon.464,Model,60.TrainLoadStation_AfterProcessing,[End],Process 'TrainLoadStation_AfterProcessing' ended.
14.1869981616759,TrainWagon.464,TrainLoadStation,84.OnEnteredProcessing,[Transfer] ToOutputNode,Entity 'TrainWagon.464' initiating transfer from '[Station] TrainLoadStation.Processing' into node 'Output@TrainLoadStation'.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Begin],Process 'OnEnteredFromAssociatedObject' initiated.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@TrainLoadStation.Entered'.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token branching on condition 'Entity.Is.Transporter'.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token sent to 'False' exit.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Execute] RoutingOutLogic,Executing process 'Output@TrainLoadStation.RoutingOutLogic'.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,93.RoutingOutLogic,[Begin],Process 'RoutingOutLogic' initiated.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,93.RoutingOutLogic,[SetNode] ToSpecificDestination,Destination node of entity 'TrainWagon.464' set to value 'Input@TrainSink'.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,93.RoutingOutLogic,[End],Process 'RoutingOutLogic' ended.
14.1869981616759,TrainWagon.464,Output@TrainLoadStation,38.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'TrainWagon.464' initiating transfer from '[Node] Output@TrainLoadStation' onto link 'TimePath1'.
14.1869981616759,TrainWagon.464,TimePath1,93.OnEntered,[Begin],Process 'OnEntered' initiated.
14.1869981616759,TrainWagon.464,TimePath1,93.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'Token.93.ReturnValue' the value '0.166666666666667' .
14.1869981616759,TrainWagon.464,TimePath1,93.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'TrainWagon.464.Movement.Rate' the value '1165.38' Meters per Hour.
14.1869981616759,TrainWagon.464,TimePath1,93.OnEntered,[EndTransfer] OntoTimePath,Entity 'TrainWagon.464' ending transfer onto link 'TimePath1'.
14.1869981616759,TrainWagon.464,TimePath1,93.OnEntered,[End],Process 'OnEntered' ended.
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[Begin],Process 'OnExitedProcessing' initiated.
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[Decide] IfTokenAssociatedObject,Token branching on condition 'Token.AssociatedObject != Nothing'.
14.1869981616759,TrainWagon.464,TrainLoadStation,95.OnExitedProcessing,[Decide] IfTokenAssociatedObject,Token sent to 'True' exit.
